Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/compliance/summary,413,0,2,3.2384028547244217,1.0522500001570734,67.43233299994245,2991.0,10.032031207528679,0.0,2,2,2,3,4,12,19,42,67,67,67
GET,/api/v1/costs/summary,557,0,2,3.572032016160032,1.2034999999741558,66.46770799989099,1147.0,13.529882282308655,0.0,2,2,3,3,4,9,18,43,66,66,66
GET,/api/v1/costs/trends,217,0,2,3.3912308156693065,1.2156249999861757,64.73074999985329,609.0,5.271067244633713,0.0,2,2,3,3,4,13,17,20,65,65,65
GET,/api/v1/identity/summary,224,0,2,3.162334620544779,1.0019159999501426,66.44362500014722,1348.0,5.441101671879962,0.0,2,2,2,2,4,11,20,42,66,66,66
GET,/api/v1/resources,321,0,2,3.654041068526323,0.8344579998720292,79.75750000014159,107681.51713395638,7.7972930208636955,0.0,2,3,3,3,4,11,19,59,80,80,80
GET,/api/v1/status,106,0,2,3.6206261792388448,1.8871659999604162,40.494665999858626,1227.622641509434,2.5748070411574817,0.0,3,3,3,3,4,13,17,18,40,40,40
GET,/health,308,0,1,2.4384881071411018,0.758000000132597,76.16683399987778,59.0,7.481514798834947,0.0,1,1,2,2,3,6,10,45,76,76,76
,Aggregated,2146,0,2,3.2987558942219573,0.758000000132597,79.75750000014159,17251.786579683132,52.12769726720713,0.0,2,2,3,3,4,10,18,42,67,80,80
