Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781035157,65,,Aggregated,40.500000,0.000000,2,2,3,3,4,11,19,21,76,80,80,1214,0,2,3.312489096374273,0.7787499998812564,79.75750000014159,29588.621087314663
1781035158,80,,Aggregated,40.800000,0.000000,2,2,3,3,5,12,19,21,76,80,80,1282,0,2,3.3371275436807952,0.7787499998812564,79.75750000014159,28078.158346333854
1781035159,95,,Aggregated,41.500000,0.000000,2,2,3,3,5,12,18,20,76,80,80,1373,0,2,3.377750227238651,0.7787499998812564,79.75750000014159,26291.753095411506
1781035160,110,,Aggregated,45.100000,0.000000,2,2,3,3,6,13,20,60,76,80,80,1460,0,2,3.957670791095091,0.7787499998812564,79.75750000014159,24789.25684931507
1781035161,120,,Aggregated,47.800000,0.000000,2,2,3,3,6,13,20,60,76,80,80,1563,0,2,3.8457124005118546,0.7613750001382869,79.75750000014159,23224.849648112602
1781035162,120,,Aggregated,52.600000,0.000000,2,2,3,3,5,12,20,59,76,80,80,1664,0,2,3.7255835474768655,0.7613750001382869,79.75750000014159,21896.69110576923
1781035163,120,,Aggregated,58.600000,0.000000,2,2,3,3,5,12,20,45,76,80,80,1758,0,2,3.630803505120432,0.7613750001382869,79.75750000014159,20794.468714448238
1781035164,120,,Aggregated,65.200000,0.000000,2,2,3,3,4,12,19,44,76,80,80,1851,0,2,3.548117179363607,0.7613750001382869,79.75750000014159,19805.246353322527
1781035165,120,,Aggregated,70.800000,0.000000,2,2,3,3,4,11,19,43,76,80,80,1957,0,2,3.4511430025556322,0.7613750001382869,79.75750000014159,18809.397547266224
1781035166,120,,Aggregated,76.000000,0.000000,2,2,3,3,4,11,19,42,67,80,80,2055,0,2,3.365382371776188,0.7613750001382869,79.75750000014159,17964.523600973236
